dataset,feature,n_obs
metabolome,fid_23436,10527
metabolome,fid_23464,10530
metabolome,fid_23427,10536
metabolome,fid_23415,10536
metabolome,fid_23442,10527
metabolome,fid_23419,10536
metabolome,fid_23482,10536
metabolome,fid_23426,10536
metabolome,fid_23524,10536
metabolome,fid_23425,10536
metabolome,fid_23559,10536
metabolome,fid_23531,10536
metabolome,fid_23496,10536
metabolome,fid_23423,10536
metabolome,fid_23566,10536
metabolome,fid_23538,10536
metabolome,fid_23503,10536
metabolome,fid_23573,10536
metabolome,fid_23545,10536
metabolome,fid_23510,10536
metabolome,fid_23424,10536
metabolome,fid_23552,10536
metabolome,fid_23489,10536
metabolome,fid_23517,10536
metabolome,fid_23411,10536
metabolome,fid_23407,10536
metabolome,fid_23487,10536
metabolome,fid_23410,10536
metabolome,fid_23529,10536
metabolome,fid_23409,10536
metabolome,fid_23564,10536
metabolome,fid_23536,10536
metabolome,fid_23501,10536
metabolome,fid_23571,10536
metabolome,fid_23543,10536
metabolome,fid_23508,10536
metabolome,fid_23578,10536
metabolome,fid_23550,10536
metabolome,fid_23515,10536
metabolome,fid_23408,10536
metabolome,fid_23557,10536
metabolome,fid_23494,10536
metabolome,fid_23522,10536
metabolome,fid_23435,10527
metabolome,fid_23583,10198
metabolome,fid_23613,10536
metabolome,fid_23638,10536
metabolome,fid_23618,10536
metabolome,fid_23593,10535
metabolome,fid_23643,10536
metabolome,fid_23623,10536
metabolome,fid_23598,10536
metabolome,fid_23648,10536
metabolome,fid_23628,10536
metabolome,fid_23603,10536
metabolome,fid_23633,10532
metabolome,fid_23588,10444
metabolome,fid_23608,10536
metabolome,fid_23469,10516
metabolome,fid_23403,10536
metabolome,fid_23467,10530
proteome,A1BG,9911
proteome,AAMDC,9666
proteome,AARSD1,10318
proteome,ABCA2,9611
proteome,ABHD14B,10256
proteome,ABL1,10318
proteome,ABO,9904
proteome,ABRAXAS2,9611
proteome,ACAA1,10125
proteome,ACADM,9746
proteome,ACADSB,9919
proteome,ACAN,10254
proteome,ACE,9904
proteome,ACE2,10146
proteome,ACHE,9676
proteome,ACOT13,9886
proteome,ACOX1,10283
proteome,ACP1,9627
proteome,ACP5,10374
proteome,ACP6,10427
proteome,ACRBP,9877
proteome,ACRV1,9627
proteome,ACSL1,9611
proteome,ACTA2,10146
proteome,ACTN2,9611
proteome,ACTN4,10167
proteome,ACVRL1,10245
proteome,ACY1,10283
proteome,ACY3,9611
proteome,ACYP1,9640
proteome,ADA,10432
proteome,ADA2,10218
proteome,ADAM12,9627
proteome,ADAM15,10146
proteome,ADAM22,10264
proteome,ADAM23,10432
proteome,ADAM8,10406
proteome,ADAM9,9886
proteome,ADAMTS1,9627
proteome,ADAMTS13,10431
proteome,ADAMTS15,10318
proteome,ADAMTS16,10146
proteome,ADAMTS4,9627
proteome,ADAMTS8,10379
proteome,ADAMTSL2,9921
proteome,ADAMTSL4,9666
proteome,ADAMTSL5,9919
proteome,ADCYAP1R1,10125
proteome,ADD1,9676
proteome,ADGRB3,10245
proteome,ADGRD1,9676
proteome,ADGRE1,9886
proteome,ADGRE2,10351
proteome,ADGRE5,10379
proteome,ADGRF5,9919
proteome,ADGRG1,10318
proteome,ADGRG2,10283
proteome,ADGRV1,9605
proteome,ADH1B,9676
proteome,ADH4,10146
proteome,ADIPOQ,9911
proteome,ADM,10438
proteome,ADRA2A,9611
proteome,AFAP1,9676
proteome,AFM,9911
proteome,AFP,10237
proteome,AGBL2,9605
proteome,AGER,10288
proteome,AGR2,10073
proteome,AGR3,10118
proteome,AGRN,10351
proteome,AGRP,10432
proteome,AGT,9904
proteome,AGXT,10283
proteome,AHCY,10283
proteome,AHNAK,9666
proteome,AHNAK2,9666
proteome,AHSA1,9877
proteome,AHSG,9904
proteome,AHSP,10332
proteome,AIDA,9655
proteome,AIF1,10125
proteome,AIF1L,9666
proteome,AIFM1,10303
proteome,AK1,10283
proteome,AK2,9903
proteome,AKAP12,9676
proteome,AKR1B1,10125
proteome,AKR1B10,9655
proteome,AKR1C4,10146
proteome,AKR7L,9627
proteome,AKT1S1,10131
proteome,AKT2,9908
proteome,AKT3,10069
proteome,ALCAM,10431
proteome,ALDH1A1,10349
proteome,ALDH2,9877
proteome,ALDH3A1,10275
proteome,ALDH5A1,9908
proteome,ALMS1,9746
proteome,ALPI,9627
proteome,ALPP,10318
proteome,AMBN,10167
proteome,AMBP,10420
proteome,AMDHD2,9921
proteome,AMFR,10131
proteome,AMIGO1,9655
proteome,AMIGO2,10318
proteome,AMN,10167
proteome,AMOT,9676
proteome,AMOTL2,9824
proteome,AMPD3,9903
proteome,AMY1A_AMY1B_AMY1C,9396
proteome,AMY2A,9758
proteome,AMY2B,9469
proteome,ANG,10254
proteome,ANGPT1,10268
proteome,ANGPT2,10438
proteome,ANGPTL1,10110
proteome,ANGPTL2,10316
proteome,ANGPTL3,10295
proteome,ANGPTL4,10343
proteome,ANGPTL7,10438
proteome,ANK2,9611
proteome,ANKMY2,9627
proteome,ANKRA2,9580
proteome,ANKRD54,10125
proteome,ANP32C,9666
proteome,ANPEP,10323
proteome,ANXA1,9655
proteome,ANXA10,10131
proteome,ANXA11,10298
proteome,ANXA2,9524
proteome,ANXA3,10406
proteome,ANXA4,10202
proteome,ANXA5,10114
proteome,AOC1,10167
proteome,AOC3,10345
proteome,AP1G2,9877
proteome,AP2B1,9655
proteome,AP3B1,9886
proteome,AP3S2,9903
proteome,APBB1IP,10318
proteome,APCS,9838
proteome,APEX1,10389
proteome,APLP1,10283
proteome,APOA1,9911
proteome,APOA2,9904
proteome,APOA4,9911
proteome,APOB,9904
proteome,APOBR,9666
proteome,APOC1,9892
proteome,APOD,9421
proteome,APOE,9911
proteome,APOF,9904
proteome,APOH,10349
proteome,APOL1,9904
proteome,APOM,10312
proteome,APP,10349
proteome,APPL2,9676
proteome,APRT,10264
proteome,ARAF,9746
proteome,AREG,10318
proteome,ARF6,9886
proteome,ARFIP1,9908
proteome,ARG1,10243
proteome,ARG2,9877
proteome,ARHGAP1,10125
proteome,ARHGAP25,10125
proteome,ARHGAP30,9746
proteome,ARHGAP45,9676
proteome,ARHGAP5,9580
proteome,ARHGEF1,9903
proteome,ARHGEF10,9908
proteome,ARHGEF12,10298
proteome,ARHGEF5,9605
proteome,ARID3A,9605
proteome,ARID4B,10131
proteome,ARL13B,9611
proteome,ARL2BP,9611
proteome,ARMCX2,9605
proteome,ARNT,10167
proteome,ARNTL,9611
proteome,ARSA,10349
proteome,ARSB,10318
proteome,ART3,10345
proteome,ART5,9605
proteome,ARTN,10167
proteome,ASAH1,9817
proteome,ASAH2,10264
proteome,ASGR1,10264
proteome,ASGR2,9904
proteome,ASPN,9919
proteome,ASPSCR1,9908
proteome,ASRGL1,9666
proteome,ASS1,9611
proteome,ATF2,10131
proteome,ATF4,9580
proteome,ATG16L1,9886
proteome,ATG4A,10125
proteome,ATOX1,10379
proteome,ATP1B1,9611
proteome,ATP1B2,9611
proteome,ATP1B3,9611
proteome,ATP1B4,9580
proteome,ATP2B4,9611
proteome,ATP5F1D,9611
proteome,ATP5IF1,10351
proteome,ATP5PO,10131
proteome,ATP6AP2,10125
proteome,ATP6V1D,10318
proteome,ATP6V1F,10123
proteome,ATP6V1G1,9666
proteome,ATP6V1G2,9611
proteome,ATRAID,9886
proteome,ATRN,9911
proteome,ATXN10,10131
proteome,ATXN2,9605
proteome,ATXN2L,9908
proteome,ATXN3,9903
proteome,AXIN1,10298
proteome,AXL,10345
proteome,AZI2,9908
proteome,AZU1,9934
proteome,B2M,9911
proteome,B3GAT3,9611
proteome,B3GNT7,9666
proteome,B4GALT1,10351
proteome,B4GAT1,10349
proteome,BABAM1,9627
proteome,BACH1,10298
proteome,BAG3,10245
proteome,BAG4,9627
proteome,BAG6,10146
proteome,BAIAP2,10125
proteome,BAMBI,10125
proteome,BANK1,10298
proteome,BAP18,9903
proteome,BATF,9655
proteome,BAX,10114
proteome,BCAM,10349
proteome,BCAN,10264
proteome,BCAT1,9919
proteome,BCAT2,9605
proteome,BCHE,9725
proteome,BCL2,9886
proteome,BCL2L1,9903
proteome,BCL2L11,10298
proteome,BCL2L15,9627
proteome,BCL7A,9580
proteome,BCL7B,9877
proteome,BCR,10298
proteome,BDNF,9921
proteome,BECN1,9666
proteome,BEX3,9580
proteome,BGLAP,9921
proteome,BGN,10108
proteome,BHLHE40,9605
proteome,BHMT2,9611
proteome,BID,10298
proteome,BIN2,10349
proteome,BIRC2,10125
proteome,BLMH,10431
proteome,BLNK,9627
proteome,BLOC1S2,9605
proteome,BLOC1S3,9903
proteome,BLVRB,10349
proteome,BMP10,9676
proteome,BMP4,10245
proteome,BMP6,10133
proteome,BMPER,9676
proteome,BNIP2,9919
proteome,BNIP3L,9627
proteome,BOC,10146
proteome,BOLA1,9605
proteome,BOLA2_BOLA2B,9666
proteome,BPIFA2,9371
proteome,BPIFB1,10301
proteome,BPIFB2,9881
proteome,BRAP,9825
proteome,BRD1,9746
proteome,BRD2,9605
proteome,BRD3,9611
proteome,BRDT,9611
proteome,BRK1,10131
proteome,BRME1,9605
proteome,BRSK2,9908
proteome,BSG,10415
proteome,BSND,9580
proteome,BST1,10430
proteome,BST2,10430
proteome,BTC,10125
proteome,BTD,9911
proteome,BTLA,9580
proteome,BTN1A1,9857
proteome,BTN2A1,10351
proteome,BTN3A2,10298
proteome,BTNL10,9580
proteome,C19ORF12,10131
proteome,C1GALT1C1,9611
proteome,C1QA,10398
proteome,C1QBP,9908
proteome,C1QL2,9627
proteome,C1QTNF1,10345
proteome,C1QTNF5,9676
proteome,C1QTNF6,9908
proteome,C1QTNF9,9672
proteome,C1R,9911
proteome,C1RL,9895
proteome,C1S,9911
proteome,C2,10312
proteome,C2CD2L,10123
proteome,C2ORF69,9655
proteome,C3,9411
proteome,C4BPB,10379
proteome,C5,9911
proteome,C7,9664
proteome,C7ORF50,9903
proteome,C8B,9911
proteome,C9,9904
proteome,C9ORF40,9886
proteome,CA1,10051
proteome,CA11,10125
proteome,CA12,10318
proteome,CA13,10252
proteome,CA14,10438
proteome,CA2,10313
proteome,CA3,10410
proteome,CA4,10431
proteome,CA5A,10146
proteome,CA6,10329
proteome,CA7,9746
proteome,CA8,9627
proteome,CA9,10438
proteome,CABP2,9655
proteome,CACNA1C,9605
proteome,CACNA1H,9611
proteome,CACNB1,9605
proteome,CACNB3,9908
proteome,CACYBP,9659
proteome,CADPS,9655
proteome,CALB1,10318
proteome,CALB2,10131
proteome,CALCA,10256
proteome,CALCB,9903
proteome,CALCOCO1,10386
proteome,CALCOCO2,9666
proteome,CALY,9611
proteome,CAMKK1,10125
proteome,CAMLG,9655
proteome,CAMSAP1,9908
proteome,CANT1,10283
proteome,CAPG,10152
proteome,CAPN3,9877
proteome,CAPS,9903
proteome,CARHSP1,10131
proteome,CASC3,9655
proteome,CASP1,10131
proteome,CASP10,10131
proteome,CASP2,10298
proteome,CASP3,10431
proteome,CASP4,9746
proteome,CASP7,9903
proteome,CASP8,10409
proteome,CASP9,9627
proteome,CASQ2,9611
proteome,CAT,9823
proteome,CBLIF,10253
proteome,CBLN1,9605
proteome,CBLN4,10438
proteome,CBS,9666
proteome,CBX2,9611
proteome,CC2D1A,10264
proteome,CCAR2,9903
proteome,CCDC134,9877
proteome,CCDC28A,9655
proteome,CCDC50,9908
proteome,CCDC80,10283
proteome,CCER2,9666
proteome,CCL11,10432
proteome,CCL13,10394
proteome,CCL14,10254
proteome,CCL15,10431
proteome,CCL16,10431
proteome,CCL17,10300
proteome,CCL18,10228
proteome,CCL19,10430
proteome,CCL2,10245
proteome,CCL20,10432
proteome,CCL21,10351
proteome,CCL22,10199
proteome,CCL23,10351
proteome,CCL24,10343
proteome,CCL25,10432
proteome,CCL26,10298
proteome,CCL27,10283
proteome,CCL28,10254
proteome,CCL3,10298
proteome,CCL4,10310
proteome,CCL5,10345
proteome,CCL7,10298
proteome,CCL8,10420
proteome,CCN1,10300
proteome,CCN2,10318
proteome,CCN3,10425
proteome,CCN4,10438
proteome,CCN5,10349
proteome,CCND2,9746
proteome,CCNE1,9627
proteome,CCS,10264
proteome,CCT5,10125
proteome,CD101,9886
proteome,CD109,10349
proteome,CD14,10028
proteome,CD160,10432
proteome,CD163,10345
proteome,CD164,10349
proteome,CD164L2,9655
proteome,CD177,10330
proteome,CD1C,10379
proteome,CD2,9611
proteome,CD200,10298
proteome,CD200R1,10258
proteome,CD207,10095
proteome,CD209,10367
proteome,CD22,10432
proteome,CD226,9627
proteome,CD244,10432
proteome,CD248,9921
proteome,CD27,10379
proteome,CD274,10264
proteome,CD276,10330
proteome,CD28,10125
proteome,CD2AP,10283
proteome,CD300A,9676
proteome,CD300C,10430
proteome,CD300E,10414
proteome,CD300LF,10438
proteome,CD300LG,10349
proteome,CD302,10318
proteome,CD33,10379
proteome,CD34,10422
proteome,CD36,9627
proteome,CD38,10318
proteome,CD3D,9605
proteome,CD3E,9746
proteome,CD3G,9627
proteome,CD4,10277
proteome,CD40,10302
proteome,CD40LG,10432
proteome,CD46,10212
proteome,CD48,10343
proteome,CD5,10420
proteome,CD55,9854
proteome,CD58,10309
proteome,CD59,9837
proteome,CD5L,9848
proteome,CD6,10415
proteome,CD63,10245
proteome,CD69,10237
proteome,CD7,9604
proteome,CD70,10298
proteome,CD72,9676
proteome,CD74,10430
proteome,CD79B,10432
proteome,CD80,9919
proteome,CD82,9746
proteome,CD83,10298
proteome,CD84,10298
proteome,CD86,9886
proteome,CD8A,10430
proteome,CD93,9990
proteome,CD99,10349
proteome,CD99L2,10349
proteome,CDA,9900
proteome,CDAN1,9903
proteome,CDC123,9580
proteome,CDC25A,9580
proteome,CDC26,9864
proteome,CDC27,10125
proteome,CDC37,10379
proteome,CDC42BPB,9886
proteome,CDCP1,10264
proteome,CDH1,9843
proteome,CDH15,10422
proteome,CDH17,10283
proteome,CDH2,10283
proteome,CDH22,9746
proteome,CDH23,9903
proteome,CDH3,10430
proteome,CDH4,9605
proteome,CDH5,10431
proteome,CDH6,10283
proteome,CDHR1,10131
proteome,CDHR2,10318
proteome,CDHR5,10283
proteome,CDK1,9580
proteome,CDK5RAP3,9908
proteome,CDKL5,9605
proteome,CDKN1A,10318
proteome,CDKN2D,10318
proteome,CDNF,10318
proteome,CDON,10341
proteome,CDSN,10411
proteome,CEACAM1,10379
proteome,CEACAM16,9886
proteome,CEACAM18,9746
proteome,CEACAM19,9886
proteome,CEACAM20,9746
proteome,CEACAM21,10298
proteome,CEACAM3,10125
proteome,CEACAM5,9984
proteome,CEACAM6,9921
proteome,CEACAM8,10146
proteome,CEBPA,9627
proteome,CEBPB,10146
proteome,CELA2A,9921
proteome,CELA3A,10423
proteome,CELSR2,9676
proteome,CEMIP2,9627
proteome,CEND1,9605
proteome,CENPF,9746
proteome,CENPJ,9746
proteome,CEP112,9611
proteome,CEP152,9580
proteome,CEP164,10167
proteome,CEP170,9666
proteome,CEP20,10125
proteome,CEP290,9746
proteome,CEP350,9580
proteome,CEP43,10116
proteome,CEP85,10125
proteome,CERT,10131
proteome,CES1,10365
proteome,CES2,10318
proteome,CES3,10318
proteome,CETN2,10131
proteome,CETN3,9886
proteome,CFB,9743
proteome,CFC1,10125
proteome,CFD,9911
proteome,CFH,9380
proteome,CFHR2,9839
proteome,CFHR4,9866
proteome,CFHR5,9720
proteome,CFI,9911
proteome,CFP,9911
proteome,CGA,10349
proteome,CGB3_CGB5_CGB8,9904
proteome,CGN,9655
proteome,CGREF1,10283
proteome,CHAC2,10125
proteome,CHAD,9676
proteome,CHCHD10,9903
proteome,CHCHD6,9877
proteome,CHEK2,10146
proteome,CHGA,9921
proteome,CHGB,10395
proteome,CHI3L1,10051
proteome,CHIT1,10353
proteome,CHL1,10345
proteome,CHM,9655
proteome,CHMP1A,10264
proteome,CHMP6,9919
proteome,CHP1,9605
proteome,CHRDL1,10343
proteome,CHRDL2,10283
proteome,CHRM1,9655
proteome,CIAPIN1,10379
proteome,CILP,9921
proteome,CINP,9746
proteome,CIRBP,9886
proteome,CIT,9655
proteome,CKAP4,10375
proteome,CKB,9921
proteome,CKMT1A_CKMT1B,10270
proteome,CLASP1,9580
proteome,CLC,10283
proteome,CLEC10A,10264
proteome,CLEC11A,10341
proteome,CLEC12A,9627
proteome,CLEC14A,10349
proteome,CLEC1A,10146
proteome,CLEC1B,10430
proteome,CLEC2L,9655
proteome,CLEC3B,9694
proteome,CLEC4A,10298
proteome,CLEC4C,10298
proteome,CLEC4D,10298
proteome,CLEC4G,10298
proteome,CLEC4M,9901
proteome,CLEC5A,10243
proteome,CLEC6A,10125
proteome,CLEC7A,10432
proteome,CLGN,9655
proteome,CLIC5,9655
proteome,CLINT1,9580
proteome,CLIP2,10298
proteome,CLMP,10438
proteome,CLNS1A,9655
proteome,CLPP,10256
proteome,CLPS,10332
proteome,CLSPN,10123
proteome,CLSTN1,10131
proteome,CLSTN2,10432
proteome,CLSTN3,9903
proteome,CLTA,10146
proteome,CLU,9911
proteome,CLUL1,10276
proteome,CMC1,9919
proteome,CMIP,9877
proteome,CNDP1,10345
proteome,CNGB3,9605
proteome,CNP,9661
proteome,CNPY2,10146
proteome,CNPY4,10318
proteome,CNST,10283
proteome,CNTF,9605
proteome,CNTN1,10431
proteome,CNTN2,10438
proteome,CNTN3,10349
proteome,CNTN4,10349
proteome,CNTN5,10404
proteome,CNTNAP2,10298
proteome,CNTNAP4,9655
proteome,COCH,9919
proteome,COL15A1,9921
proteome,COL18A1,10350
proteome,COL1A1,10431
proteome,COL24A1,9886
proteome,COL28A1,9655
proteome,COL2A1,9666
proteome,COL3A1,9921
proteome,COL4A1,10283
proteome,COL4A4,9724
proteome,COL5A1,9676
proteome,COL6A3,10431
proteome,COL9A1,10298
proteome,COL9A2,9746
proteome,COLEC12,10330
proteome,COMMD1,9666
proteome,COMMD9,9877
proteome,COMP,10174
proteome,COMT,10029
proteome,COPB2,9611
proteome,COPE,10131
proteome,COQ7,9666
proteome,CORO1A,10131
proteome,CORO6,9605
proteome,COX5B,10318
proteome,COX6B1,9919
proteome,CPA1,10431
proteome,CPA2,10411
proteome,CPA4,9516
proteome,CPB1,10431
proteome,CPB2,9892
proteome,CPE,10380
proteome,CPLX2,9580
proteome,CPM,10371
proteome,CPOX,9627
proteome,CPPED1,10430
proteome,CPQ,9912
proteome,CPTP,9611
proteome,CPVL,10408
proteome,CPXM1,10379
proteome,CPXM2,9919
proteome,CR1,9883
proteome,CR2,10345
proteome,CRACR2A,10125
proteome,CRADD,10256
proteome,CREB3,9580
proteome,CREBZF,9580
proteome,CREG1,10210
proteome,CRELD1,9676
proteome,CRELD2,10343
proteome,CRH,10110
proteome,CRHBP,10330
proteome,CRHR1,10146
proteome,CRIM1,10351
proteome,CRIP2,10264
proteome,CRISP2,10438
proteome,CRISP3,9814
proteome,CRKL,10322
proteome,CRLF1,10351
proteome,CRNN,10032
proteome,CRTAC1,10431
proteome,CRTAM,10264
proteome,CRTAP,9655
proteome,CRX,10146
proteome,CRYBB1,9919
proteome,CRYBB2,9903
proteome,CRYGD,9903
proteome,CRYM,9605
proteome,CRYZL1,9666
proteome,CSDE1,9611
proteome,CSF1,10351
proteome,CSF1R,9904
proteome,CSF2,9611
proteome,CSF2RA,10264
proteome,CSF2RB,9627
proteome,CSF3,10167
proteome,CSF3R,9627
proteome,CSH1,9904
proteome,CSNK1D,9627
proteome,CSNK2A1,9908
proteome,CSPG4,9921
proteome,CSPG5,9605
proteome,CSRP3,9611
proteome,CST1,8696
proteome,CST3,10340
proteome,CST5,10156
proteome,CST6,10058
proteome,CST7,10310
proteome,CSTB,10166
proteome,CTAG1A_CTAG1B,9734
proteome,CTBS,9779
proteome,CTF1,10146
proteome,CTHRC1,9921
proteome,CTLA4,9921
proteome,CTNNA1,9605
proteome,CTRB1,10349
proteome,CTRC,10329
proteome,CTRL,9903
proteome,CTSB,10340
proteome,CTSC,10284
proteome,CTSD,9436
proteome,CTSE,9676
proteome,CTSF,10379
proteome,CTSH,10130
proteome,CTSL,10283
proteome,CTSO,10432
proteome,CTSS,8142
proteome,CTSV,10390
proteome,CTSZ,10306
proteome,CUZD1,9655
proteome,CWC15,9837
proteome,CX3CL1,10264
proteome,CXADR,10298
proteome,CXCL1,10291
proteome,CXCL10,10351
proteome,CXCL11,10430
proteome,CXCL12,10167
proteome,CXCL13,10430
proteome,CXCL14,10167
proteome,CXCL16,10417
proteome,CXCL17,10432
proteome,CXCL3,10302
proteome,CXCL5,10261
proteome,CXCL6,10432
proteome,CXCL8,10269
proteome,CXCL9,10351
proteome,CYB5A,9580
proteome,CYB5R2,9791
proteome,CYP24A1,9611
proteome,CYTH3,9580
proteome,CYTL1,9921
proteome,DAAM1,9676
proteome,DAB2,10438
proteome,DAG1,10351
proteome,DAND5,9627
proteome,DAPK2,9627
proteome,DAPP1,10298
proteome,DARS1,10256
proteome,DBH,9885
proteome,DBI,10300
proteome,DBN1,9627
proteome,DBNL,10351
proteome,DCBLD2,10379
proteome,DCC,9655
proteome,DCDC2C,9580
proteome,DCLRE1C,9580
proteome,DCN,10146
proteome,DCTD,9676
proteome,DCTN1,10438
proteome,DCTN2,10318
proteome,DCTN6,10131
proteome,DCTPP1,10283
proteome,DCUN1D1,9605
proteome,DCUN1D2,9580
proteome,DCXR,10379
proteome,DDA1,9611
proteome,DDAH1,10318
proteome,DDC,10253
proteome,DDHD2,9908
proteome,DDI2,9676
proteome,DDR1,10430
proteome,DDT,9921
proteome,DDX1,9886
proteome,DDX25,9655
proteome,DDX39A,9627
proteome,DDX4,9627
proteome,DDX53,9655
proteome,DDX58,10125
proteome,DECR1,10298
proteome,DEFA1_DEFA1B,10091
proteome,DEFB103A_DEFB103B,9591
proteome,DEFB104A_DEFB104B,9605
proteome,DEFB116,9605
proteome,DEFB118,9605
proteome,DEFB4A_DEFB4B,10211
proteome,DENND2B,9611
proteome,DENR,9627
proteome,DFFA,10432
proteome,DGCR6,9605
proteome,DGKA,9627
proteome,DGKZ,10167
proteome,DHODH,9611
proteome,DHPS,9877
proteome,DHRS4L2,9903
proteome,DIABLO,10243
proteome,DIPK1C,9655
proteome,DIPK2B,9676
proteome,DKK1,10430
proteome,DKK3,10431
proteome,DKK4,10252
proteome,DKKL1,10318
proteome,DLG4,9903
proteome,DLGAP5,9908
proteome,DLK1,10431
proteome,DLL1,10379
proteome,DLL4,9666
proteome,DMD,9666
proteome,DMP1,9666
proteome,DNAJA1,9580
proteome,DNAJA2,10392
proteome,DNAJA4,9903
