protein,metabolite,metabolite_disp,r,q,Npair,weight,modP_louvain,modM_louvain,modP_walktrap,modM_walktrap,intra_louvain,intra_walktrap
LDLR,fid_23494,Triglycerides in Very Large VLDL,0.647431370707734,0,10338,0.647431370707734,1,2,2,2,FALSE,TRUE
LDLR,fid_23486,Free Cholesterol in Chylomicrons and Extremely Large VLDL,0.644912311196483,0,10338,0.644912311196483,1,2,2,2,FALSE,TRUE
LDLR,fid_23543,Triglycerides in Medium LDL,0.6447803920504391,0,10338,0.6447803920504391,1,2,2,2,FALSE,TRUE
LDLR,fid_23435,Triglycerides to Phosphoglycerides ratio,0.6423989663427072,0,10329,0.6423989663427072,1,6,2,2,FALSE,TRUE
LDLR,fid_23483,Phospholipids in Chylomicrons and Extremely Large VLDL,0.6348967286500845,0,10338,0.6348967286500845,1,2,2,2,FALSE,TRUE
LDLR,fid_23420,Free Cholesterol in VLDL,0.6345046602307449,0,10338,0.6345046602307449,1,1,2,2,TRUE,TRUE
LDLR,fid_23409,Triglycerides in LDL,0.6314682723683676,0,10338,0.6314682723683676,1,2,2,2,FALSE,TRUE
LDLR,fid_23447,Monounsaturated Fatty Acids,0.6280707953908699,0,10329,0.6280707953908699,1,2,2,2,FALSE,TRUE
LDLR,fid_23622,Free Cholesterol to Total Lipids in Medium LDL percentage,-0.6280678520117713,0,10338,0.6280678520117713,1,6,2,2,FALSE,TRUE
LDLR,fid_23481,Concentration of Chylomicrons and Extremely Large VLDL Particles,0.6279148738599021,0,10338,0.6279148738599021,1,2,2,2,FALSE,TRUE
LDLR,fid_23501,Triglycerides in Large VLDL,0.6230644338209397,0,10338,0.6230644338209397,1,1,2,2,TRUE,TRUE
LDLR,fid_23428,Concentration of VLDL Particles,0.6229916864288783,0,10338,0.6229916864288783,1,1,2,2,TRUE,TRUE
LDLR,fid_23641,Cholesteryl Esters to Total Lipids in Medium HDL percentage,-0.6183163450563686,0,10338,0.6183163450563686,1,6,2,2,FALSE,TRUE
LDLR,fid_23640,Cholesterol to Total Lipids in Medium HDL percentage,-0.6156635579600669,0,10338,0.6156635579600669,1,6,2,2,FALSE,TRUE
PLA2G7,fid_23439,Apolipoprotein B,0.6156322531175459,0,10349,0.6156322531175459,1,1,2,2,TRUE,TRUE
LDLR,fid_23529,Triglycerides in IDL,0.6123612246734459,0,10338,0.6123612246734459,1,2,2,2,FALSE,TRUE
PLA2G7,fid_23546,Phospholipids in Small LDL,0.6120156514421604,0,10349,0.6120156514421604,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23544,Concentration of Small LDL Particles,0.6107395211031316,0,10349,0.6107395211031316,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23429,Concentration of LDL Particles,0.6100811395189298,0,10349,0.6100811395189298,1,1,2,2,TRUE,TRUE
LDLR,fid_23482,Total Lipids in Chylomicrons and Extremely Large VLDL,0.6097855789550412,0,10338,0.6097855789550412,1,2,2,2,FALSE,TRUE
PLA2G7,fid_23545,Total Lipids in Small LDL,0.6089065047646754,0,10349,0.6089065047646754,1,1,2,2,TRUE,TRUE
LDLR,fid_23536,Triglycerides in Large LDL,0.6054511188816368,0,10338,0.6054511188816368,1,2,2,2,FALSE,TRUE
LDLR,fid_23431,Average Diameter for VLDL Particles,0.6038223286190683,0,10338,0.6038223286190683,1,3,2,2,FALSE,TRUE
PLA2G7,fid_23547,Cholesterol in Small LDL,0.6032218322459674,0,10349,0.6032218322459674,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23530,Concentration of Large LDL Particles,0.6002259242301863,0,10349,0.6002259242301863,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23523,Concentration of IDL Particles,0.5999469256510932,0,10349,0.5999469256510932,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23402,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)",0.5992829473765474,0,10349,0.5992829473765474,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23505,Cholesterol in Medium VLDL,0.5989120410136498,0,10349,0.5989120410136498,1,1,2,2,TRUE,TRUE
LDLR,fid_23503,Total Lipids in Medium VLDL,0.5980995136269108,0,10338,0.5980995136269108,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23401,Total Cholesterol Minus HDL-C,0.5967626075213016,0,10349,0.5967626075213016,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23548,Cholesteryl Esters in Small LDL,0.5950782694319726,0,10349,0.5950782694319726,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23413,Phospholipids in LDL,0.5900510622134303,0,10349,0.5900510622134303,1,1,2,2,TRUE,TRUE
LDLR,fid_23410,Triglycerides in HDL,0.5890501497452799,0,10338,0.5890501497452799,1,2,2,2,FALSE,TRUE
LDLR,fid_23638,Triglycerides to Total Lipids in Large HDL percentage,0.5887708577030594,0,10338,0.5887708577030594,1,6,2,2,FALSE,TRUE
PLA2G7,fid_23506,Cholesteryl Esters in Medium VLDL,0.5867287946938742,0,10349,0.5867287946938742,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23441,Apolipoprotein B to Apolipoprotein A1 ratio,0.5862415883891277,0,10349,0.5862415883891277,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23404,Clinical LDL Cholesterol,0.5844980718010683,0,10349,0.5844980718010683,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23514,Free Cholesterol in Small VLDL,0.5822181686745502,0,10349,0.5822181686745502,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23425,Total Lipids in LDL,0.5806747651319101,0,10349,0.5806747651319101,1,1,2,2,TRUE,TRUE
LDLR,fid_23571,Triglycerides in Medium HDL,0.5805890586700841,0,10338,0.5805890586700841,1,2,2,2,FALSE,TRUE
PLA2G7,fid_23507,Free Cholesterol in Medium VLDL,0.580313028801111,0,10349,0.580313028801111,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23539,Phospholipids in Medium LDL,0.5788350597110946,0,10349,0.5788350597110946,1,1,2,2,TRUE,TRUE
LDLR,fid_23403,VLDL Cholesterol,0.5784137011749514,0,10338,0.5784137011749514,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23537,Concentration of Medium LDL Particles,0.5783581607656293,0,10349,0.5783581607656293,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23416,Cholesteryl Esters in VLDL,0.5782720070684907,0,10349,0.5782720070684907,1,1,2,2,TRUE,TRUE
SERPIND1,fid_23480,Glycoprotein Acetyls,0.5771602725995517,0,9892,0.5771602725995517,2,5,2,2,FALSE,TRUE
LDLR,fid_23487,Triglycerides in Chylomicrons and Extremely Large VLDL,0.5769491658436766,0,10338,0.5769491658436766,1,4,2,2,FALSE,TRUE
PLA2G7,fid_23538,Total Lipids in Medium LDL,0.5751067738044258,0,10349,0.5751067738044258,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23405,LDL Cholesterol,0.5749231660202266,0,10349,0.5749231660202266,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23532,Phospholipids in Large LDL,0.5746219835977062,0,10349,0.5746219835977062,1,1,2,2,TRUE,TRUE
LDLR,fid_23626,Cholesteryl Esters to Total Lipids in Small LDL percentage,0.5745542293299377,0,10338,0.5745542293299377,1,1,2,2,TRUE,TRUE
PLTP,fid_23562,Cholesteryl Esters in Large HDL,0.5744743173747271,0,10412,0.5744743173747271,3,3,2,2,TRUE,TRUE
LDLR,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.5744536836533061,0,10329,0.5744536836533061,1,6,2,2,FALSE,TRUE
PLTP,fid_23433,Average Diameter for HDL Particles,0.5741106706437866,0,10412,0.5741106706437866,3,3,2,2,TRUE,TRUE
PLA2G7,fid_23540,Cholesterol in Medium LDL,0.5739687847879281,0,10349,0.5739687847879281,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23417,Cholesteryl Esters in LDL,0.5734854615975455,0,10349,0.5734854615975455,1,1,2,2,TRUE,TRUE
LDLR,fid_23513,Cholesteryl Esters in Small VLDL,0.5728956381073075,0,10338,0.5728956381073075,1,1,2,2,TRUE,TRUE
PLTP,fid_23558,Concentration of Large HDL Particles,0.5721100961256267,0,10412,0.5721100961256267,3,3,2,2,TRUE,TRUE
PLTP,fid_23561,Cholesterol in Large HDL,0.5715274564904054,0,10412,0.5715274564904054,3,3,2,2,TRUE,TRUE
LDLR,fid_23442,Total Fatty Acids,0.5705967539652,0,10329,0.5705967539652,1,2,2,2,FALSE,TRUE
LDLR,fid_23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,0.5690460178724438,0,10329,0.5690460178724438,1,6,2,2,FALSE,TRUE
LDLR,fid_23511,Phospholipids in Small VLDL,0.5674406442201436,0,10338,0.5674406442201436,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23531,Total Lipids in Large LDL,0.5671498722222876,0,10349,0.5671498722222876,1,1,2,2,TRUE,TRUE
CFI,fid_23480,Glycoprotein Acetyls,0.5667647095912638,0,9911,0.5667647095912638,3,5,2,2,FALSE,TRUE
PLA2G7,fid_23512,Cholesterol in Small VLDL,0.5662874491265237,0,10349,0.5662874491265237,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23541,Cholesteryl Esters in Medium LDL,0.5657494679480053,0,10349,0.5657494679480053,1,1,2,2,TRUE,TRUE
LDLR,fid_23627,Free Cholesterol to Total Lipids in Small LDL percentage,-0.5656633381135743,0,10338,0.5656633381135743,1,4,2,2,FALSE,TRUE
PLTP,fid_23559,Total Lipids in Large HDL,0.5655681323929423,0,10412,0.5655681323929423,3,3,2,2,TRUE,TRUE
PLA2G7,fid_23549,Free Cholesterol in Small LDL,0.5636915973615407,0,10349,0.5636915973615407,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23525,Phospholipids in IDL,0.5634997623787193,0,10349,0.5634997623787193,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23504,Phospholipids in Medium VLDL,0.562729225387157,0,10349,0.562729225387157,1,1,2,2,TRUE,TRUE
APCS,fid_23480,Glycoprotein Acetyls,0.561169792558906,0,9838,0.561169792558906,1,5,2,2,FALSE,TRUE
LDLR,fid_23448,Saturated Fatty Acids,0.5605343144683822,0,10329,0.5605343144683822,1,2,2,2,FALSE,TRUE
PLA2G7,fid_23533,Cholesterol in Large LDL,0.5593788150027338,0,10349,0.5593788150027338,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23542,Free Cholesterol in Medium LDL,0.5591953908952408,0,10349,0.5591953908952408,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23421,Free Cholesterol in LDL,0.5588704447114129,0,10349,0.5588704447114129,1,1,2,2,TRUE,TRUE
LDLR,fid_23452,Omega-6 Fatty Acids to Total Fatty Acids percentage,-0.5586652003238919,0,10329,0.5586652003238919,1,2,2,2,FALSE,TRUE
PLA2G7,fid_23534,Cholesteryl Esters in Large LDL,0.5577711480820309,0,10349,0.5577711480820309,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23524,Total Lipids in IDL,0.5567289412751094,0,10349,0.5567289412751094,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23403,VLDL Cholesterol,0.5556281511124999,0,10349,0.5556281511124999,1,1,2,2,TRUE,TRUE
PLTP,fid_23563,Free Cholesterol in Large HDL,0.5551943193988439,0,10412,0.5551943193988439,3,3,2,2,TRUE,TRUE
LDLR,fid_23502,Concentration of Medium VLDL Particles,0.5550822702775838,0,10338,0.5550822702775838,1,1,2,2,TRUE,TRUE
PLTP,fid_23560,Phospholipids in Large HDL,0.5543951801793076,0,10412,0.5543951801793076,3,3,2,2,TRUE,TRUE
PLA2G7,fid_23502,Concentration of Medium VLDL Particles,0.5515543120896904,0,10349,0.5515543120896904,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23513,Cholesteryl Esters in Small VLDL,0.5510412806833003,0,10349,0.5510412806833003,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23419,Total Free Cholesterol,0.5499588143587938,0,10349,0.5499588143587938,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23535,Free Cholesterol in Large LDL,0.5496990574207219,0,10349,0.5496990574207219,1,1,2,2,TRUE,TRUE
LDLR,fid_23589,Phospholipids to Total Lipids in Large VLDL percentage,0.5485938991346241,0,10337,0.5485938991346241,1,4,2,2,FALSE,TRUE
LDLR,fid_23633,Triglycerides to Total Lipids in Very Large HDL percentage,0.5469946185303612,0,10334,0.5469946185303612,1,4,2,2,FALSE,TRUE
PLA2G7,fid_23511,Phospholipids in Small VLDL,0.5460610103476516,0,10349,0.5460610103476516,1,1,2,2,TRUE,TRUE
LDLR,fid_23624,Phospholipids to Total Lipids in Small LDL percentage,-0.5460405874460719,0,10338,0.5460405874460719,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23519,Cholesterol in Very Small VLDL,0.5441322815840036,0,10349,0.5441322815840036,1,1,2,2,TRUE,TRUE
LDLR,fid_23504,Phospholipids in Medium VLDL,0.5437820861396263,0,10338,0.5437820861396263,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23528,Free Cholesterol in IDL,0.542683411671696,0,10349,0.542683411671696,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23526,Cholesterol in IDL,0.5417263073031869,0,10349,0.5417263073031869,1,1,2,2,TRUE,TRUE
LDLR,fid_23512,Cholesterol in Small VLDL,0.541011816466135,0,10338,0.541011816466135,1,1,2,2,TRUE,TRUE
RARRES2,fid_23480,Glycoprotein Acetyls,0.5409894990490688,0,10345,0.5409894990490688,4,5,2,2,FALSE,TRUE
PLA2G7,fid_23520,Cholesteryl Esters in Very Small VLDL,0.5403709808968157,0,10349,0.5403709808968157,1,1,2,2,TRUE,TRUE
APOA1,fid_23440,Apolipoprotein A1,0.5399643374490137,0,9911,0.5399643374490137,3,3,2,2,TRUE,TRUE
PLA2G7,fid_23527,Cholesteryl Esters in IDL,0.5372390538202523,0,10349,0.5372390538202523,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23516,Concentration of Very Small VLDL Particles,0.53563918868209,0,10349,0.53563918868209,1,1,2,2,TRUE,TRUE
LDLR,fid_23636,Cholesteryl Esters to Total Lipids in Large HDL percentage,-0.5347413171902168,0,10338,0.5347413171902168,1,6,2,2,FALSE,TRUE
PLTP,fid_23418,Cholesteryl Esters in HDL,0.5339343475342916,0,10412,0.5339343475342916,3,3,2,2,TRUE,TRUE
PLTP,fid_23406,HDL Cholesterol,0.5331523578079224,0,10412,0.5331523578079224,3,3,2,2,TRUE,TRUE
PLA2G7,fid_23521,Free Cholesterol in Very Small VLDL,0.5328514991069793,0,10349,0.5328514991069793,1,1,2,2,TRUE,TRUE
LDLR,fid_23617,Free Cholesterol to Total Lipids in Large LDL percentage,-0.5304697282323493,0,10338,0.5304697282323493,1,4,2,2,FALSE,TRUE
APOA1,fid_23570,Free Cholesterol in Medium HDL,0.530138150637718,0,9911,0.530138150637718,3,3,2,2,TRUE,TRUE
APOA1,fid_23426,Total Lipids in HDL,0.5294189389887248,0,9911,0.5294189389887248,3,3,2,2,TRUE,TRUE
PLTP,fid_23642,Free Cholesterol to Total Lipids in Medium HDL percentage,0.5293665519816444,0,10412,0.5293665519816444,3,3,2,2,TRUE,TRUE
APOA1,fid_23565,Concentration of Medium HDL Particles,0.5291107362482197,0,9911,0.5291107362482197,3,3,2,2,TRUE,TRUE
APOA1,fid_23568,Cholesterol in Medium HDL,0.5283652120205361,0,9911,0.5283652120205361,3,3,2,2,TRUE,TRUE
LDLR,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.5273259413255605,0,10329,0.5273259413255605,1,6,2,2,FALSE,TRUE
APOA1,fid_23430,Concentration of HDL Particles,0.5262417563665402,0,9911,0.5262417563665402,3,3,2,2,TRUE,TRUE
APOA1,fid_23406,HDL Cholesterol,0.5255224047082032,0,9911,0.5255224047082032,3,3,2,2,TRUE,TRUE
APOA1,fid_23569,Cholesteryl Esters in Medium HDL,0.52454600210048,0,9911,0.52454600210048,3,3,2,2,TRUE,TRUE
LDLR,fid_23416,Cholesteryl Esters in VLDL,0.5243552482561683,0,10338,0.5243552482561683,1,1,2,2,TRUE,TRUE
APOA1,fid_23418,Cholesteryl Esters in HDL,0.5241106327508986,0,9911,0.5241106327508986,3,3,2,2,TRUE,TRUE
PLTP,fid_23555,Cholesteryl Esters in Very Large HDL,0.5173414134091405,0,10412,0.5173414134091405,3,3,2,2,TRUE,TRUE
LDLR,fid_23635,Cholesterol to Total Lipids in Large HDL percentage,-0.5153373451219877,0,10338,0.5153373451219877,1,6,2,2,FALSE,TRUE
APOA1,fid_23414,Phospholipids in HDL,0.5150821043273419,0,9911,0.5150821043273419,3,3,2,2,TRUE,TRUE
PLA2G7,fid_23400,Total Cholesterol,0.5133367530766839,0,10349,0.5133367530766839,1,1,2,2,TRUE,TRUE
OLR1,fid_23471,Lactate,0.5122302818317638,0,10164,0.5122302818317638,5,5,1,1,TRUE,TRUE
PLA2G7,fid_23428,Concentration of VLDL Particles,0.5122130557743361,0,10349,0.5122130557743361,1,1,2,2,TRUE,TRUE
APOA1,fid_23427,Total Concentration of Lipoprotein Particles,0.5114191562006428,0,9911,0.5114191562006428,3,3,2,2,TRUE,TRUE
APOA1,fid_23422,Free Cholesterol in HDL,0.5105807392405216,0,9911,0.5105807392405216,3,3,2,2,TRUE,TRUE
PLTP,fid_23422,Free Cholesterol in HDL,0.5101806784782192,0,10412,0.5101806784782192,3,3,2,2,TRUE,TRUE
APOA1,fid_23566,Total Lipids in Medium HDL,0.5095635419072594,0,9911,0.5095635419072594,3,3,2,2,TRUE,TRUE
LDLR,fid_23621,Cholesteryl Esters to Total Lipids in Medium LDL percentage,0.5092441400835745,0,10338,0.5092441400835745,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23503,Total Lipids in Medium VLDL,0.5092144693751656,0,10349,0.5092144693751656,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23517,Total Lipids in Very Small VLDL,0.5085085724500956,0,10349,0.5085085724500956,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23420,Free Cholesterol in VLDL,0.5079030741412102,0,10349,0.5079030741412102,1,1,2,2,TRUE,TRUE
MFGE8,fid_23550,Triglycerides in Small LDL,0.5073455880726374,0,10349,0.5073455880726374,4,2,2,2,FALSE,TRUE
IGSF9,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.507293769459998,0,9910,0.507293769459998,4,6,2,2,FALSE,TRUE
FGFBP1,fid_23506,Cholesteryl Esters in Medium VLDL,0.5070307630733474,0,10379,0.5070307630733474,1,1,2,2,TRUE,TRUE
TNFSF14,fid_23471,Lactate,0.5059817314802484,0,10233,0.5059817314802484,5,5,1,1,TRUE,TRUE
FGFBP1,fid_23528,Free Cholesterol in IDL,0.5044432053449355,0,10379,0.5044432053449355,1,1,2,2,TRUE,TRUE
LDLR,fid_23518,Phospholipids in Very Small VLDL,0.5041650873199618,0,10338,0.5041650873199618,1,1,2,2,TRUE,TRUE
MFGE8,fid_23578,Triglycerides in Small HDL,0.5039424463448721,0,10349,0.5039424463448721,4,2,2,2,FALSE,TRUE
APOM,fid_23427,Total Concentration of Lipoprotein Particles,0.5033920383997372,0,10312,0.5033920383997372,1,3,2,2,FALSE,TRUE
MFGE8,fid_23410,Triglycerides in HDL,0.5032539748573317,0,10349,0.5032539748573317,4,2,2,2,FALSE,TRUE
LDLR,fid_23562,Cholesteryl Esters in Large HDL,-0.5016898813807451,0,10338,0.5016898813807451,1,3,2,2,FALSE,TRUE
PLTP,fid_23553,Phospholipids in Very Large HDL,0.5014247324220832,0,10412,0.5014247324220832,3,3,2,2,TRUE,TRUE
MFGE8,fid_23628,Triglycerides to Total Lipids in Small LDL percentage,0.5003012702266433,0,10349,0.5003012702266433,4,4,2,2,TRUE,TRUE
PLTP,fid_23552,Total Lipids in Very Large HDL,0.5000365929896616,0,10412,0.5000365929896616,3,3,2,2,TRUE,TRUE
ORM1,fid_23480,Glycoprotein Acetyls,0.4996198307910241,0,9847,0.4996198307910241,3,5,2,2,FALSE,TRUE
PLTP,fid_23554,Cholesterol in Very Large HDL,0.4993700949973058,0,10412,0.4993700949973058,3,3,2,2,TRUE,TRUE
APOM,fid_23438,Sphingomyelins,0.4988126298778357,0,10303,0.4988126298778357,1,1,2,2,TRUE,TRUE
FGFBP1,fid_23526,Cholesterol in IDL,0.4985967338461645,0,10379,0.4985967338461645,1,1,2,2,TRUE,TRUE
IGSF9,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.49753729781749706,0,9910,0.49753729781749706,4,6,2,2,FALSE,TRUE
FGFBP1,fid_23525,Phospholipids in IDL,0.4972811256402104,0,10379,0.4972811256402104,1,1,2,2,TRUE,TRUE
PRAP1,fid_23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,0.4970353701005225,0,9912,0.4970353701005225,4,6,2,2,FALSE,TRUE
PLTP,fid_23632,Free Cholesterol to Total Lipids in Very Large HDL percentage,-0.4970231790281679,0,10408,0.4970231790281679,3,3,2,2,TRUE,TRUE
LDLR,fid_23639,Phospholipids to Total Lipids in Medium HDL percentage,0.49676854519646746,0,10338,0.49676854519646746,1,6,2,2,FALSE,TRUE
PRAP1,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.4955767840145363,0,9912,0.4955767840145363,4,6,2,2,FALSE,TRUE
MFGE8,fid_23407,Total Triglycerides,0.49542819506615027,0,10349,0.49542819506615027,4,2,2,2,FALSE,TRUE
PLA2G7,fid_23518,Phospholipids in Very Small VLDL,0.4951577743751175,0,10349,0.4951577743751175,1,1,2,2,TRUE,TRUE
PLA2G7,fid_23415,Total Esterified Cholesterol,0.4946157662474699,0,10349,0.4946157662474699,1,1,2,2,TRUE,TRUE
FGFBP1,fid_23535,Free Cholesterol in Large LDL,0.4944404255375726,0,10379,0.4944404255375726,1,1,2,2,TRUE,TRUE
FGFBP1,fid_23524,Total Lipids in IDL,0.4940092391773238,0,10379,0.4940092391773238,1,1,2,2,TRUE,TRUE
MXRA8,fid_23562,Cholesteryl Esters in Large HDL,0.4933912533993147,0,9676,0.4933912533993147,3,3,2,2,TRUE,TRUE
MFGE8,fid_23571,Triglycerides in Medium HDL,0.4933821211591968,0,10349,0.4933821211591968,4,2,2,2,FALSE,TRUE
APOM,fid_23415,Total Esterified Cholesterol,0.4929227418319595,0,10312,0.4929227418319595,1,1,2,2,TRUE,TRUE
FGFBP1,fid_23527,Cholesteryl Esters in IDL,0.4927022966059862,0,10379,0.4927022966059862,1,1,2,2,TRUE,TRUE
PLTP,fid_23551,Concentration of Very Large HDL Particles,0.4923338426499944,0,10412,0.4923338426499944,3,3,2,2,TRUE,TRUE
MFGE8,fid_23447,Monounsaturated Fatty Acids,0.49198313513527847,0,10341,0.49198313513527847,4,2,2,2,FALSE,TRUE
CFB,fid_23480,Glycoprotein Acetyls,0.4909935113191212,0,9743,0.4909935113191212,3,5,2,2,FALSE,TRUE
PLTP,fid_23426,Total Lipids in HDL,0.49046873285336207,0,10412,0.49046873285336207,3,3,2,2,TRUE,TRUE
LDLR,fid_23561,Cholesterol in Large HDL,-0.49017608222804093,0,10338,0.49017608222804093,1,3,2,2,FALSE,TRUE
MFGE8,fid_23515,Triglycerides in Small VLDL,0.4901501076245835,0,10349,0.4901501076245835,4,2,2,2,FALSE,TRUE
MXRA8,fid_23561,Cholesterol in Large HDL,0.48933980991553566,0,9676,0.48933980991553566,3,3,2,2,TRUE,TRUE
IGSF9,fid_23452,Omega-6 Fatty Acids to Total Fatty Acids percentage,-0.4890790137539666,0,9910,0.4890790137539666,4,2,2,2,FALSE,TRUE
MFGE8,fid_23627,Free Cholesterol to Total Lipids in Small LDL percentage,-0.48859721479188384,0,10349,0.48859721479188384,4,4,2,2,TRUE,TRUE
MFGE8,fid_23522,Triglycerides in Very Small VLDL,0.487564338120708,0,10349,0.487564338120708,4,2,2,2,FALSE,TRUE
